Name in documentation,Category,Qty,Link,Notes
Motor vibrador,hardware,1,MTSPACE 10pcs/Set 4x8mm DC 1.5-3V Micro Cell Phone Coreless Vibration Motor Vibrator Mini Massage Motor for SANYO High Quality - AliExpress,4x8 mm
Señuelo de Carga ,hardware,1,https://es.aliexpress.com/item/1005004996088932.html?src=google&src=google&albch=shopping&acnt=494-037-6276&slnk=&plac=&mtctp=&albbt=Google_7_shopping&albagn=888888&isSmbAutoCall=false&needSmbHouyi=false&albcp=17859513307&albag=&trgt=&crea=es1005004996088932&netw=x&device=c&albpg=&albpd=es1005004996088932&gad=1&gclid=Cj0KCQiAgK2qBhCHARIsAGACuznw_6ggLCl6iPBsm0Q_mQ9zy_2GAnnA6fwgo5thILut8NcVaswQX1saAsnpEALw_wcB&gclsrc=aw.ds&aff_fcid=efec0c4c69f549f2beb844121f6fe922-1699460303279-05043-UneMJZVf&aff_fsk=UneMJZVf&aff_platform=aaf&sk=UneMJZVf&aff_trace_key=efec0c4c69f549f2beb844121f6fe922-1699460303279-05043-UneMJZVf&terminal_id=1c7dbf56fc6547ef8fa57d8207a07536&afSmartRedirect=y,
Cargador USB-C,hardware,1,https://es.aliexpress.com/item/1005005984443043.html?src=google&src=google&albch=shopping&acnt=494-037-6276&slnk=&plac=&mtctp=&albbt=Google_7_shopping&albagn=888888&isSmbAutoCall=false&needSmbHouyi=false&albcp=17859513307&albag=&trgt=&crea=es1005005984443043&netw=x&device=c&albpg=&albpd=es1005005984443043&gad_source=1&gclid=CjwKCAiAqNSsBhAvEiwAn_tmxX4DgZ_utTNyc5IY8-2ayH2VmpsZiAgmwhCguOhs-VxOmtPq_7WUaBoCOhoQAvD_BwE&gclsrc=aw.ds&aff_fcid=f189c0200f3b4af79f93c65462dafba9-1704304772029-00970-UneMJZVf&aff_fsk=UneMJZVf&aff_platform=aaf&sk=UneMJZVf&aff_trace_key=f189c0200f3b4af79f93c65462dafba9-1704304772029-00970-UneMJZVf&terminal_id=1c7dbf56fc6547ef8fa57d8207a07536&afSmartRedirect=y,
Cinta adhesiva térmica ,hardware,1,https://es.aliexpress.com/item/4000233593859.html?src=google&src=google&albch=shopping&acnt=494-037-6276&slnk=&plac=&mtctp=&albbt=Google_7_shopping&albagn=888888&isSmbAutoCall=false&needSmbHouyi=false&albcp=17859513307&albag=&trgt=&crea=es4000233593859&netw=x&device=c&albpg=&albpd=es4000233593859&gad_source=1&gclid=CjwKCAiA9dGqBhAqEiwAmRpTC1_NdS-bISs9jKBG-U5wSOB7ionPE8S9TbrOqq4ufkRBIzhXIGao0hoChrEQAvD_BwE&gclsrc=aw.ds&aff_fcid=d8ea643ddb9c418ea42122ad2ade8f9a-1700062079709-02668-UneMJZVf&aff_fsk=UneMJZVf&aff_platform=aaf&sk=UneMJZVf&aff_trace_key=d8ea643ddb9c418ea42122ad2ade8f9a-1700062079709-02668-UneMJZVf&terminal_id=1c7dbf56fc6547ef8fa57d8207a07536&afSmartRedirect=y,Heat Sink Dimensionsions: 15x24mm
Interruptor basculante,hardware,2,http://aliexpress.com/item/1005003838211957.html,
LM2596,hardware,1,https://es.aliexpress.com/item/32952599622.html?spm=a2g0o.productlist.main.1.66ab4376ovwwYI&algo_pvid=05467a34-5ed4-47c4-ab7a-0f696e4e8452&aem_p4p_detail=20231114064103125509292837940004053771&algo_exp_id=05467a34-5ed4-47c4-ab7a-0f696e4e8452-0&pdp_npi=4%40dis%21CLP%21400%21371.0%21%21%210.42%21%21%402101e58316999728636192312eb19c%2166283697002%21sea%21CL%210%21AB&curPageLogUid=km7nIVWql5cD&search_p4p_id=20231114064103125509292837940004053771_1,
cable conector macho 2.54mm 2P,hardware,3,http://aliexpress.com/item/33015429167.html,
cable conector hembra 2.54mm 2P,hardware,4,http://aliexpress.com/item/33015429167.html,en caso de incluir circuito limitador de corriente adquirir una unidad adicional
cable conector macho 2.54mm 3P,hardware,1,http://aliexpress.com/item/33015429167.html,ventilador laser driver 500mA
"cable conector macho  2mm, 2P",hardware,1,http://aliexpress.com/item/1005001649158434.html,ventilador laser driver 4A
Terminales RV2-3,hardware,1,https://es.aliexpress.com/item/1005004290771619.html?src=google&src=google&albch=shopping&acnt=494-037-6276&slnk=&plac=&mtctp=&albbt=Google_7_shopping&albagn=888888&isSmbAutoCall=false&needSmbHouyi=false&albcp=17859513307&albag=&trgt=&crea=es1005004290771619&netw=x&device=c&albpg=&albpd=es1005004290771619&gad_source=1&aff_fcid=98e5a7c60a9a4916a20b5e55ab794909-1700159866555-09466-UneMJZVf&aff_fsk=UneMJZVf&aff_platform=aaf&sk=UneMJZVf&aff_trace_key=98e5a7c60a9a4916a20b5e55ab794909-1700159866555-09466-UneMJZVf&terminal_id=1c7dbf56fc6547ef8fa57d8207a07536&afSmartRedirect=y,uso opcional: para ajustar cables en amperimetro
Panel M12 y Cable conector 8 pines,hardware,1,https://es.aliexpress.com/item/1005005922136440.html?gatewayAdapt=glo2esp,"2 pines para + y - del láser, 2 pines para el motor, 2 pines para el ventilador (podria usarse uno de 6 pines)"
Ventilador con disipador 30mm 12V,hardware,1,https://a.aliexpress.com/_msGmWnW,
